CUST_ID,cust_name,region,signup_dt
108,Customer 108,Midwest,2025-03-18
109,Customer 109,West,2025-03-08
110,Customer 110,Southwest,2026-04-01
111,Customer 111,Northeast,2026-04-04
112,Customer 112,West,2025-05-16
113,Customer 113,Southwest,2025-01-30
114,Customer 114,Southwest,2025-03-15
115,Customer 115,West,2024-01-25
116,Customer 116,West,2024-10-18
117,Customer 117,Southwest,2025-03-28
118,Customer 118,West,
119,Customer 119,Northeast,2026-07-17
120,Customer 120,Midwest,2025-09-04
121,Customer 121,Northeast,2024-05-29
122,Customer 122,Northeast,2026-07-18
123,Customer 123,Southeast,2025-05-19
124,Customer 124,West,2024-12-31
125,Customer 125,Northeast,2025-11-10
126,Customer 126,Midwest,2024-05-20
127,Customer 127,Southeast,2025-12-14
128,Customer 128,Northeast,2024-04-13
129,Customer 129,West,2024-08-25
130,Customer 130,Southeast,2025-08-23
131,Customer 131,Northeast,2026-08-12
132,Customer 132,Southwest,2025-03-10
133,Customer 133,Northeast,2024-02-29
134,Customer 134,Midwest,2024-10-11
135,Customer 135,Southwest,2026-06-10
136,Customer 136,Southeast,2025-06-14
137,Customer 137,Southeast,2026-06-13
138,Customer 138,Northeast,2026-03-23
139,Customer 139,West,2026-01-06
140,Customer 140,Southeast,2025-07-27
141,Customer 141,Southeast,2024-11-07
142,Customer 142,Northeast,2025-07-02
143,Customer 143,Northeast,2025-01-09
144,Customer 144,Southwest,2025-05-05
145,Customer 145,Southeast,2025-05-06
146,Customer 146,Southwest,2026-01-13
147,Customer 147,Southwest,2024-04-08
148,Customer 148,Midwest,2025-10-16
149,Customer 149,Southwest,2026-04-05
150,Customer 150,West,2026-02-02
151,Customer 151,Midwest,2025-05-03
152,Customer 152,Midwest,2024-08-22
153,Customer 153,Northeast,2025-07-24
154,Customer 154,Southeast,2025-09-06
155,Customer 155,Northeast,2024-04-03
156,Customer 156,Southeast,2025-11-22
157,Customer 157,Southwest,2025-05-13
158,Customer 158,Southeast,2024-08-29
159,Customer 159,Northeast,2025-05-15
160,Customer 160,West,2024-07-04
161,Customer 161,Southwest,2025-02-22
162,Customer 162,Southeast,2026-04-15
163,Customer 163,Northeast,2024-01-17
164,Customer 164,Midwest,2025-05-17
165,Customer 165,Midwest,2025-06-04
166,Customer 166,Northeast,2025-03-08
167,Customer 167,West,2026-07-16
168,Customer 168,Southwest,
169,Customer 169,Midwest,2026-06-14
170,Customer 170,Southeast,2024-06-15
171,Customer 171,West,2026-02-12
172,Customer 172,Midwest,2024-04-27
173,Customer 173,Midwest,2025-06-18
174,Customer 174,Midwest,
175,Customer 175,Midwest,2024-08-16
176,Customer 176,Southwest,2024-12-14
177,Customer 177,Southeast,2025-07-23
178,Customer 178,Southwest,2024-07-09
179,Customer 179,Northeast,2024-01-31
180,Customer 180,Southwest,2024-08-04
181,Customer 181,Southwest,2026-07-31
182,Customer 182,Midwest,2026-05-04
183,Customer 183,Midwest,2024-08-11
184,Customer 184,West,2024-09-09
185,Customer 185,West,2025-02-07
186,Customer 186,Northeast,2026-03-04
187,Customer 187,Northeast,2025-08-21
188,Customer 188,Northeast,2025-03-06
189,Customer 189,Northeast,2025-09-29
190,Customer 190,Southeast,2026-04-27
191,Customer 191,West,2025-05-22
192,Customer 192,Northeast,2025-09-09
193,Customer 193,West,2026-01-01
194,Customer 194,Southwest,2025-12-28
195,Customer 195,Southwest,2024-07-23
196,Customer 196,Southeast,
197,Customer 197,Southeast,2025-03-12
198,Customer 198,Northeast,2024-06-06
199,Customer 199,West,2026-03-30
200,Customer 200,Midwest,2025-05-31
201,Customer 201,West,2024-06-05
202,Customer 202,Southeast,2025-04-08
203,Customer 203,Southeast,2025-06-29
204,Customer 204,Northeast,2025-03-01
205,Customer 205,Midwest,2024-05-29
206,Customer 206,West,2026-07-11
207,Customer 207,Southwest,2025-02-23
208,Customer 208,Southwest,2024-09-17
209,Customer 209,Midwest,2026-06-23
210,Customer 210,Northeast,2024-05-03
211,Customer 211,Southeast,2025-06-25
212,Customer 212,West,2024-11-04
213,Customer 213,Midwest,2026-02-20
214,Customer 214,Southwest,2025-03-17
215,Customer 215,Midwest,2024-01-29
216,Customer 216,Midwest,2026-06-18
217,Customer 217,Midwest,2024-11-08
218,Customer 218,Midwest,2024-07-26
219,Customer 219,Northeast,2025-05-02
220,Customer 220,Northeast,2024-12-17
221,Customer 221,Southwest,2026-07-28
222,Customer 222,Northeast,2025-08-06
223,Customer 223,Southwest,2024-08-30
224,Customer 224,West,2025-08-17
225,Customer 225,Southeast,
226,Customer 226,Southwest,
227,Customer 227,Southwest,2026-02-17
228,Customer 228,Midwest,2024-01-21
229,Customer 229,West,2024-08-22
230,Customer 230,Southwest,2024-10-20
231,Customer 231,Northeast,2025-01-13
232,Customer 232,Southwest,2026-05-03
233,Customer 233,West,2026-02-05
234,Customer 234,Southwest,2026-02-08
235,Customer 235,West,2025-03-06
236,Customer 236,West,2024-07-13
237,Customer 237,Northeast,2026-05-11
238,Customer 238,Northeast,2024-04-05
239,Customer 239,Southwest,2024-12-12
240,Customer 240,Midwest,2025-04-23
241,Customer 241,West,2024-12-06
242,Customer 242,Southeast,2025-01-13
243,Customer 243,Midwest,2026-07-09
244,Customer 244,Northeast,2024-05-16
245,Customer 245,Southwest,2025-02-16
246,Customer 246,Southeast,2025-08-21
247,Customer 247,West,2026-02-21
248,Customer 248,West,2025-03-08
249,Customer 249,Southeast,2025-12-20
250,Customer 250,Southeast,2026-05-25
251,Customer 251,Southeast,2025-02-14
252,Customer 252,Northeast,2025-06-03
253,Customer 253,Northeast,2024-07-18
254,Customer 254,Southeast,2025-10-19
255,Customer 255,Northeast,2025-11-04
256,Customer 256,West,2025-05-16
257,Customer 257,Southwest,2025-05-18
258,Customer 258,Southwest,2025-08-05
259,Customer 259,Midwest,2024-10-07
260,Customer 260,Northeast,2026-01-26
261,Customer 261,West,2025-05-03
262,Customer 262,Northeast,2024-04-05
263,Customer 263,Southwest,2025-06-26
264,Customer 264,West,2024-03-12
265,Customer 265,Northeast,2025-08-29
266,Customer 266,Northeast,2025-03-06
267,Customer 267,Southwest,2025-12-17
268,Customer 268,Northeast,2025-11-20
269,Customer 269,Southwest,2025-10-27
270,Customer 270,Northeast,2024-02-15
271,Customer 271,Midwest,2024-01-27
272,Customer 272,Midwest,2024-04-03
273,Customer 273,West,2025-08-08
274,Customer 274,Southeast,2025-03-26
275,Customer 275,West,2024-04-20
276,Customer 276,West,2026-02-02
277,Customer 277,West,2024-07-07
278,Customer 278,Southeast,2025-06-24
279,Customer 279,Southeast,2024-06-10
280,Customer 280,Midwest,2024-12-01
281,Customer 281,West,2025-03-10
282,Customer 282,Northeast,2025-01-11
283,Customer 283,Southeast,2026-08-11
284,Customer 284,West,2024-08-25
285,Customer 285,Northeast,2025-01-18
286,Customer 286,Southwest,2026-04-11
287,Customer 287,Midwest,2024-11-24
288,Customer 288,Northeast,2026-02-19
289,Customer 289,Northeast,2025-07-15
290,Customer 290,Midwest,2026-06-08
291,Customer 291,Southwest,2025-01-26
292,Customer 292,Midwest,2025-10-09
293,Customer 293,Southeast,2026-01-11
294,Customer 294,Southwest,2024-09-20
295,Customer 295,Southwest,2025-07-27
296,Customer 296,Southeast,2026-05-21
297,Customer 297,Southwest,2026-01-17
298,Customer 298,Northeast,2025-05-09
299,Customer 299,Northeast,2025-04-17
300,Customer 300,Southeast,2026-08-04
301,Customer 301,Midwest,2025-01-06
302,Customer 302,Southeast,2025-02-12
303,Customer 303,Southwest,2025-03-27
304,Customer 304,West,2026-07-09
305,Customer 305,Southeast,2025-09-20
306,Customer 306,Midwest,2025-10-24
307,Customer 307,Southeast,2024-11-26
308,Customer 308,Southeast,2025-04-06
309,Customer 309,Southeast,2025-06-21
310,Customer 310,Midwest,2026-01-17
311,Customer 311,Northeast,2025-10-03
312,Customer 312,Midwest,2024-08-26
313,Customer 313,West,2025-03-14
314,Customer 314,West,2025-09-24
315,Customer 315,Northeast,2024-01-16
316,Customer 316,Southeast,2024-05-11
317,Customer 317,Northeast,2024-12-07
318,Customer 318,Southeast,2025-04-23
319,Customer 319,Southwest,2024-06-17
320,Customer 320,West,2025-08-31
321,Customer 321,Southeast,2025-04-06
322,Customer 322,Southwest,
323,Customer 323,West,2025-08-16
324,Customer 324,Southwest,2026-01-25
325,Customer 325,Midwest,2025-06-05
326,Customer 326,Midwest,2025-10-14
327,Customer 327,Southwest,2024-02-26
328,Customer 328,Southeast,2025-02-28
329,Customer 329,Southeast,2026-03-19
330,Customer 330,West,2024-02-08
331,Customer 331,Southeast,2024-10-14
332,Customer 332,Southwest,2025-03-03
333,Customer 333,West,2024-01-10
334,Customer 334,Southeast,2026-08-22
335,Customer 335,Midwest,2024-05-05
336,Customer 336,Midwest,2026-05-06
337,Customer 337,Southwest,2024-05-25
338,Customer 338,West,2024-11-24
339,Customer 339,Midwest,2025-03-22
340,Customer 340,West,2025-05-17
341,Customer 341,Northeast,2025-03-04
342,Customer 342,Northeast,2026-03-26
343,Customer 343,Midwest,2024-10-15
344,Customer 344,West,2024-04-18
345,Customer 345,Midwest,2026-08-13
346,Customer 346,Southeast,
347,Customer 347,Northeast,2024-03-03
348,Customer 348,Southwest,2025-10-04
349,Customer 349,West,2025-04-03
350,Customer 350,Southwest,2024-10-16
351,Customer 351,Southwest,2026-02-22
352,Customer 352,Southeast,2024-10-15
353,Customer 353,Southeast,2024-05-17
354,Customer 354,Southeast,2024-04-27
355,Customer 355,Midwest,2025-11-24
356,Customer 356,Southwest,2025-02-20
357,Customer 357,Southeast,2026-04-29
358,Customer 358,Midwest,2024-03-27
359,Customer 359,West,2025-09-21
360,Customer 360,Northeast,2024-02-27
361,Customer 361,Northeast,2025-04-12
362,Customer 362,Southeast,2024-05-18
363,Customer 363,Northeast,2026-06-17
364,Customer 364,Northeast,2025-12-29
365,Customer 365,Midwest,2025-03-17
366,Customer 366,Midwest,2026-06-21
367,Customer 367,West,
368,Customer 368,Southeast,2025-02-13
369,Customer 369,Midwest,2025-10-17
370,Customer 370,West,2024-06-22
371,Customer 371,Southeast,
372,Customer 372,Southeast,2025-07-28
373,Customer 373,Northeast,2025-11-17
374,Customer 374,Southwest,2026-07-22
375,Customer 375,Southeast,2026-06-05
376,Customer 376,Midwest,2024-04-26
377,Customer 377,Southwest,2026-02-11
378,Customer 378,West,2026-05-06
379,Customer 379,Northeast,2026-06-16
380,Customer 380,Northeast,2026-04-19
381,Customer 381,Midwest,2024-10-11
382,Customer 382,Southwest,2026-05-12
383,Customer 383,Southwest,2025-06-04
384,Customer 384,Northeast,2025-12-21
385,Customer 385,West,2026-02-02
386,Customer 386,Southwest,2025-04-22
387,Customer 387,Northeast,
388,Customer 388,Northeast,2025-04-28
389,Customer 389,West,2024-02-16
390,Customer 390,Southeast,2025-05-04
391,Customer 391,Northeast,2024-11-04
392,Customer 392,Southeast,2025-01-20
393,Customer 393,Southwest,2025-12-15
394,Customer 394,Northeast,2024-04-05
395,Customer 395,West,2024-03-16
396,Customer 396,Midwest,2025-10-24
397,Customer 397,Northeast,2025-09-24
398,Customer 398,Southeast,2025-12-18
399,Customer 399,Northeast,2024-08-08
400,Customer 400,Northeast,2025-06-25
401,Customer 401,Midwest,2025-01-15
402,Customer 402,Northeast,2025-09-08
403,Customer 403,West,2026-07-17
404,Customer 404,Northeast,2026-02-16
405,Customer 405,West,2026-01-10
406,Customer 406,Southeast,2025-11-06
407,Customer 407,Midwest,2024-12-07
408,Customer 408,West,2025-02-14
409,Customer 409,Midwest,2026-01-28
410,Customer 410,Northeast,2024-10-11
411,Customer 411,Southwest,2024-03-19
412,Customer 412,West,2024-09-28
413,Customer 413,Midwest,2024-03-30
414,Customer 414,Midwest,2024-11-21
415,Customer 415,West,2024-10-10
416,Customer 416,Midwest,2024-06-19
417,Customer 417,Southwest,2024-12-26
418,Customer 418,West,2025-09-01
419,Customer 419,West,2026-04-08
420,Customer 420,West,
421,Customer 421,West,2024-02-02
422,Customer 422,West,2026-05-01
423,Customer 423,Southwest,2024-01-11
424,Customer 424,Midwest,2024-10-16
425,Customer 425,Midwest,2026-08-19
426,Customer 426,Midwest,2024-10-15
427,Customer 427,Midwest,2024-01-03
428,Customer 428,Northeast,2024-05-02
429,Customer 429,Northeast,2025-01-02
430,Customer 430,Southeast,
431,Customer 431,Midwest,2025-02-15
432,Customer 432,West,2025-12-30
433,Customer 433,West,2025-01-28
434,Customer 434,West,2026-06-15
435,Customer 435,West,2024-05-06
436,Customer 436,Northeast,2025-07-31
437,Customer 437,West,2025-08-30
438,Customer 438,Midwest,2024-10-09
439,Customer 439,Midwest,
440,Customer 440,Southeast,2026-04-25
441,Customer 441,Northeast,2025-04-02
442,Customer 442,Southeast,2025-11-28
443,Customer 443,Southwest,2025-04-10
444,Customer 444,Northeast,2024-11-27
445,Customer 445,Northeast,2025-11-01
446,Customer 446,West,2026-05-24
447,Customer 447,Northeast,2026-01-23
448,Customer 448,Northeast,2025-06-15
449,Customer 449,West,2025-05-07
450,Customer 450,Southwest,2025-12-08
451,Customer 451,Midwest,2026-07-09
452,Customer 452,Southeast,2026-08-21
453,Customer 453,Northeast,2025-02-24
454,Customer 454,Southeast,2024-04-21
455,Customer 455,Midwest,2026-03-12
456,Customer 456,Midwest,2025-12-30
457,Customer 457,Midwest,2025-05-26
458,Customer 458,Midwest,2025-03-04
459,Customer 459,Midwest,2025-08-29
460,Customer 460,Southwest,2025-11-18
461,Customer 461,Southeast,2024-02-03
462,Customer 462,Midwest,2024-09-24
463,Customer 463,West,2024-01-15
464,Customer 464,Northeast,2024-05-27
465,Customer 465,Midwest,2024-07-27
466,Customer 466,Northeast,2024-07-03
467,Customer 467,Southwest,2025-09-25
468,Customer 468,Southwest,2024-07-18
469,Customer 469,Northeast,2025-03-24
470,Customer 470,Southeast,2024-06-09
471,Customer 471,Northeast,2026-02-07
472,Customer 472,Southwest,2026-06-23
473,Customer 473,Midwest,2025-06-14
474,Customer 474,Midwest,2025-06-03
475,Customer 475,Midwest,2025-02-05
476,Customer 476,West,2026-04-08
477,Customer 477,Southeast,2024-05-03
478,Customer 478,Southwest,2025-01-25
479,Customer 479,Midwest,2024-10-10
480,Customer 480,Southwest,2025-08-18
481,Customer 481,Northeast,2025-09-07
482,Customer 482,Northeast,2024-06-21
483,Customer 483,Southeast,2025-02-12
484,Customer 484,Midwest,2025-06-23
485,Customer 485,West,2024-02-16
486,Customer 486,Northeast,2024-12-31
487,Customer 487,Southwest,2026-08-04
488,Customer 488,Southwest,2026-05-01
489,Customer 489,Southeast,2024-09-28
490,Customer 490,Southeast,2026-01-08
491,Customer 491,Midwest,2024-09-09
492,Customer 492,Southeast,2025-11-22
493,Customer 493,Southwest,2024-03-15
494,Customer 494,Southwest,2024-05-03
495,Customer 495,Northeast,2024-07-25
496,Customer 496,Northeast,2026-03-28
497,Customer 497,Southwest,2024-12-11
498,Customer 498,West,2026-06-21
499,Customer 499,Northeast,2026-03-30
500,Customer 500,Midwest,2026-07-16
501,Customer 501,Midwest,2024-08-08
502,Customer 502,Northeast,2026-01-20
503,Customer 503,Midwest,
504,Customer 504,Southeast,2024-07-11
505,Customer 505,Southwest,2026-05-06
506,Customer 506,Midwest,2025-06-10
507,Customer 507,Southwest,2025-10-28
508,Customer 508,West,2026-05-29
509,Customer 509,Midwest,2024-06-03
510,Customer 510,Southwest,2026-06-22
511,Customer 511,West,2024-10-30
512,Customer 512,West,2026-04-22
513,Customer 513,West,2024-05-02
514,Customer 514,Midwest,2024-04-22
515,Customer 515,Midwest,2024-09-12
516,Customer 516,Northeast,2024-05-03
517,Customer 517,Midwest,2024-11-29
518,Customer 518,Northeast,2025-07-16
519,Customer 519,West,2026-01-07
520,Customer 520,Southwest,2024-10-28
521,Customer 521,West,2025-04-23
522,Customer 522,Northeast,2025-09-06
523,Customer 523,Northeast,2026-08-05
524,Customer 524,Northeast,2025-02-05
525,Customer 525,Midwest,
526,Customer 526,Northeast,2025-10-05
527,Customer 527,Southeast,2024-02-06
528,Customer 528,West,2025-02-01
529,Customer 529,West,2024-04-11
530,Customer 530,Southeast,2024-06-22
531,Customer 531,Southeast,2024-12-05
532,Customer 532,Northeast,2025-05-17
533,Customer 533,Northeast,2026-03-28
534,Customer 534,West,2024-12-17
535,Customer 535,Midwest,2024-10-29
536,Customer 536,Southwest,2024-03-01
537,Customer 537,Southeast,
538,Customer 538,Southeast,2025-07-14
539,Customer 539,Northeast,2024-11-02
540,Customer 540,Southeast,2024-11-06
541,Customer 541,West,2024-02-20
542,Customer 542,Midwest,2025-05-30
543,Customer 543,Northeast,2026-06-11
544,Customer 544,Southwest,2025-05-04
545,Customer 545,Southwest,2025-11-27
546,Customer 546,Southeast,2026-01-19
547,Customer 547,West,2024-03-27
548,Customer 548,Northeast,2025-07-02
549,Customer 549,Midwest,2026-04-26
550,Customer 550,Southwest,2025-06-11
551,Customer 551,Southwest,2024-10-06
552,Customer 552,Southeast,2024-10-01
553,Customer 553,West,2025-03-01
554,Customer 554,Northeast,2025-09-25
555,Customer 555,Southwest,2025-08-16
556,Customer 556,Southwest,
557,Customer 557,Northeast,2025-11-25
558,Customer 558,Northeast,2026-03-14
559,Customer 559,Midwest,2026-05-10
560,Customer 560,Midwest,2024-07-30
561,Customer 561,Southeast,2025-03-10
562,Customer 562,Southeast,2024-11-10
563,Customer 563,Southeast,2026-07-15
564,Customer 564,Southeast,2024-07-22
565,Customer 565,Midwest,2025-01-24
566,Customer 566,Southwest,2024-04-13
567,Customer 567,Midwest,2026-07-28
568,Customer 568,Northeast,2025-12-20
569,Customer 569,Midwest,2024-03-02
570,Customer 570,Northeast,2025-06-24
571,Customer 571,Southwest,2025-09-22
572,Customer 572,Southeast,2024-10-04
573,Customer 573,Southeast,2024-10-18
574,Customer 574,West,2026-02-20
575,Customer 575,Midwest,2025-01-01
576,Customer 576,Midwest,2024-10-14
577,Customer 577,Southwest,2024-08-16
578,Customer 578,Midwest,2024-07-24
579,Customer 579,Southeast,2025-08-14
580,Customer 580,Northeast,2025-08-19
581,Customer 581,Midwest,2025-05-12
582,Customer 582,Midwest,2025-03-28
583,Customer 583,West,2025-06-21
584,Customer 584,Midwest,2024-02-15
585,Customer 585,Northeast,2024-05-12
586,Customer 586,Southeast,2024-07-16
587,Customer 587,Southeast,2025-04-03
588,Customer 588,West,2025-07-03
589,Customer 589,Southwest,2024-11-14
590,Customer 590,Southwest,2026-03-03
591,Customer 591,Southwest,2024-11-05
592,Customer 592,Southeast,2024-01-24
593,Customer 593,West,2025-08-14
594,Customer 594,West,2024-10-06
595,Customer 595,Southwest,2025-07-10
596,Customer 596,West,2024-09-03
597,Customer 597,Midwest,2025-03-03
598,Customer 598,West,2024-05-24
599,Customer 599,Southwest,2024-08-02
600,Customer 600,Midwest,2026-08-18
601,Customer 601,Midwest,2024-06-04
602,Customer 602,Northeast,2025-10-28
603,Customer 603,Southeast,2024-10-02
604,Customer 604,Northeast,2025-12-14
605,Customer 605,Midwest,2025-02-13
606,Customer 606,Northeast,2024-04-01
607,Customer 607,Southeast,2026-07-20
608,Customer 608,Northeast,2024-02-26
609,Customer 609,Northeast,2025-05-02
610,Customer 610,Southeast,2024-02-05
611,Customer 611,Southwest,2024-05-12
612,Customer 612,Midwest,2024-04-01
613,Customer 613,West,2025-07-17
614,Customer 614,Northeast,
615,Customer 615,Southwest,2026-07-25
616,Customer 616,West,2024-09-02
617,Customer 617,Midwest,2026-06-06
618,Customer 618,Midwest,2024-09-08
619,Customer 619,Southwest,2025-12-22
620,Customer 620,Southeast,2024-10-08
621,Customer 621,Midwest,2025-09-26
622,Customer 622,West,2024-09-20
623,Customer 623,West,2024-04-30
624,Customer 624,Northeast,2024-05-02
625,Customer 625,Midwest,2026-01-29
626,Customer 626,Midwest,2026-03-14
627,Customer 627,West,2024-07-30
628,Customer 628,Southeast,2026-04-08
629,Customer 629,Southeast,2025-10-20
630,Customer 630,West,2025-07-18
631,Customer 631,Southeast,2026-02-14
632,Customer 632,Midwest,2024-05-12
633,Customer 633,Northeast,
634,Customer 634,Southeast,2025-08-04
635,Customer 635,Southeast,2025-02-10
636,Customer 636,Southwest,2026-02-08
637,Customer 637,Northeast,2026-05-22
638,Customer 638,Northeast,2024-04-07
639,Customer 639,Southwest,2025-01-13
640,Customer 640,West,2024-04-04
641,Customer 641,Southwest,
642,Customer 642,Southwest,2024-11-27
643,Customer 643,West,2025-03-01
644,Customer 644,Southeast,2026-05-28
645,Customer 645,Midwest,2025-10-20
646,Customer 646,Midwest,2026-07-26
647,Customer 647,Northeast,2024-04-18
648,Customer 648,Southwest,2024-10-30
649,Customer 649,Midwest,2024-05-10
650,Customer 650,West,2024-12-18
651,Customer 651,Midwest,2025-09-01
652,Customer 652,Southeast,2026-05-14
653,Customer 653,Southwest,2024-02-13
654,Customer 654,Midwest,2026-08-22
655,Customer 655,Southeast,2025-04-24
656,Customer 656,West,2025-01-23
657,Customer 657,West,2026-02-01
658,Customer 658,Midwest,2025-05-10
659,Customer 659,Southwest,2025-08-23
660,Customer 660,Midwest,2025-05-28
661,Customer 661,Southeast,2024-09-29
662,Customer 662,Midwest,2026-03-17
663,Customer 663,Southwest,2025-01-21
664,Customer 664,Southwest,2024-01-10
665,Customer 665,West,2024-05-14
666,Customer 666,Midwest,2026-02-16
667,Customer 667,Southeast,2025-01-25
668,Customer 668,West,2024-07-13
669,Customer 669,West,2026-02-13
670,Customer 670,Southwest,2024-07-06
671,Customer 671,Northeast,2024-06-23
672,Customer 672,Southeast,2025-02-16
673,Customer 673,Northeast,2024-01-08
674,Customer 674,Midwest,2026-05-04
675,Customer 675,West,2026-01-12
676,Customer 676,Northeast,2026-07-09
677,Customer 677,Midwest,2024-06-11
678,Customer 678,West,2024-07-01
679,Customer 679,Northeast,2026-08-17
680,Customer 680,Northeast,2026-07-27
681,Customer 681,West,
682,Customer 682,Southwest,2024-06-20
683,Customer 683,Midwest,2025-05-06
684,Customer 684,Southeast,2025-06-05
685,Customer 685,Midwest,2025-01-11
686,Customer 686,West,2026-03-16
687,Customer 687,West,2024-04-01
688,Customer 688,Southwest,2025-10-20
689,Customer 689,Southwest,2025-02-05
690,Customer 690,Northeast,2024-10-06
691,Customer 691,West,2024-12-26
692,Customer 692,Southwest,2026-04-09
693,Customer 693,Southwest,2026-01-22
694,Customer 694,Southwest,2025-03-22
695,Customer 695,Southeast,2024-05-30
696,Customer 696,Midwest,2025-12-12
697,Customer 697,Southeast,2025-08-10
698,Customer 698,Northeast,2025-01-21
699,Customer 699,Midwest,2025-03-18
700,Customer 700,Southeast,2025-11-28
701,Customer 701,Northeast,
702,Customer 702,West,2026-06-27
703,Customer 703,Midwest,2026-05-24
704,Customer 704,West,2025-08-01
705,Customer 705,Northeast,
706,Customer 706,West,2025-06-05
707,Customer 707,Southeast,2024-08-05
708,Customer 708,West,2025-04-25
709,Customer 709,Southwest,2026-03-30
710,Customer 710,Northeast,2024-09-28
711,Customer 711,Southwest,2026-04-28
712,Customer 712,Southeast,2025-04-15
713,Customer 713,West,2024-09-06
714,Customer 714,Northeast,2025-09-08
715,Customer 715,Midwest,
716,Customer 716,West,2024-07-24
717,Customer 717,Midwest,2024-06-30
718,Customer 718,West,2026-03-30
719,Customer 719,Southeast,2026-05-15
720,Customer 720,Southwest,2025-01-10
721,Customer 721,Midwest,2025-05-20
722,Customer 722,Southeast,2024-03-16
723,Customer 723,Southwest,2025-12-07
724,Customer 724,Northeast,2024-08-16
725,Customer 725,Southwest,2024-09-08
726,Customer 726,Southeast,
727,Customer 727,Southwest,2024-04-22
728,Customer 728,Southeast,2025-09-11
